Month,Hours
2017-10,129267.75
2017-11,134064.75
2017-12,132887.25
2018-01,158465.50
2018-02,126512.00
2018-03,126188.00
2018-04,160039.75
2018-05,131111.50
2018-06,161181.50
2018-07,131993.25
2018-08,133252.25
2018-09,162950.25
