Month,Hours
2019-04,123982.25
2019-05,125970.5
2019-06,158805.5
2019-07,126482.25
2019-08,130599
2019-09,158315.25
2019-10,128703.25
2019-11,131688.5
2019-12,161041.25
2020-01,122759
2020-02,126425.25
2020-03,159170.25
