Month,Hours
2019-02,127966.75
2019-03,159613.75
2019-04,123968
2019-05,125997.25
2019-06,158805.75
2019-07,126482.5
2019-08,130600
2019-09,158315.25
2019-10,128201.75
2019-11,131614.75
2019-12,160856.5
2020-01,121292.25
